subject, fuzzer, trial, total, tte, crashes
aspell_aspell_fuzzer, aflchurn_noage, trial-754260, 82580, 1449,  4
aspell_aspell_fuzzer, aflchurn_noage, trial-754257, 82792, 7233,  8
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754624, 82627, 8188,  4
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754630, 5393, 3594,  1
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754621, 35951, 3542,  3
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754629, 82323, 9412,  5
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754632, 82788, 3149,  4
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754628, 82785, 3102,  37
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754622, 892, Timeout,  0
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754623, 82777, 4923,  2
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754626, 82788, 8876,  15
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754633, 82647, 10823,  3
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754639, 82737, 3100,  3
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754625, 82441, 8722,  11
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754631, 81888, 3201,  1
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754636, 82785, 3447,  4
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754640, 82044, 3459,  9
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754634, 82777, 3121,  11
aspell_aspell_fuzzer, aflchurn_nochurn, trial-757987, 82775, 3255,  6
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754635, 41347, 3576,  1
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754627, 82782, 10640,  6
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754637, 82640, 11351,  1
aspell_aspell_fuzzer, aflchurn_nochurn, trial-754638, 82779, 3150,  4
aspell_aspell_fuzzer, aflchurn_nochurn, trial-757739, 82793, 60522,  1
aspell_aspell_fuzzer, aflchurn_nochurn, trial-762976, 80107, 3326,  6
aspell_aspell_fuzzer, aflchurn_nochurn, trial-762990, 79601, 3135,  2
aspell_aspell_fuzzer, aflchurn_pe2, trial-755007, 28765, 1654,  6
aspell_aspell_fuzzer, aflchurn_pe2, trial-755014, 43128, 1288,  6
aspell_aspell_fuzzer, aflchurn_pe2, trial-755012, 889, Timeout,  0
aspell_aspell_fuzzer, aflchurn_pe2, trial-755009, 82771, 4101,  6
aspell_aspell_fuzzer, aflchurn_pe2, trial-755006, 63004, 9281,  8
aspell_aspell_fuzzer, aflchurn_pe2, trial-755016, 82793, 1395,  10
aspell_aspell_fuzzer, aflchurn_pe2, trial-755005, 82675, 982,  5
aspell_aspell_fuzzer, aflchurn_pe2, trial-755010, 82297, 8769,  12
aspell_aspell_fuzzer, aflchurn_pe2, trial-755003, 82198, 1221,  11
aspell_aspell_fuzzer, aflchurn_pe2, trial-755018, 82782, 2746,  1
aspell_aspell_fuzzer, aflchurn_pe2, trial-755020, 82733, 11590,  11
aspell_aspell_fuzzer, aflchurn_pe2, trial-755011, 17095, 9565,  5
aspell_aspell_fuzzer, aflchurn_pe2, trial-755008, 24278, 7686,  3
aspell_aspell_fuzzer, aflchurn_pe2, trial-755001, 82746, 16220,  5
aspell_aspell_fuzzer, aflchurn_pe2, trial-755004, 82784, 7643,  5
aspell_aspell_fuzzer, aflchurn_pe2, trial-755002, 82716, 1355,  6
aspell_aspell_fuzzer, aflchurn_pe2, trial-763016, 2691, 1215,  1
aspell_aspell_fuzzer, aflchurn_pe2, trial-762870, 80099, 1521,  6
aspell_aspell_fuzzer, aflchurn_pe2, trial-758256, 82487, 1462,  3
aspell_aspell_fuzzer, aflchurn_pe2, trial-755013, 82769, 2105,  8
aspell_aspell_fuzzer, aflchurn_pe2, trial-755019, 82790, 1564,  4
aspell_aspell_fuzzer, aflchurn_pe2, trial-755017, 82639, 1619,  4
aspell_aspell_fuzzer, aflchurn_pe2, trial-763061, 79667, 9342,  5
aspell_aspell_fuzzer, aflchurn_pe2, trial-757744, 82664, 1390,  12
aspell_aspell_fuzzer, aflchurn_pe2, trial-763744, 75601, 7948,  4
aspell_aspell_fuzzer, aflchurn_pe2, trial-755015, 82787, 12633,  6
aspell_aspell_fuzzer, aflchurn_pe2, trial-763142, 79842, 1254,  10
aspell_aspell_fuzzer, aflchurn_pe2, trial-762921, 12588, 2939,  4
aspell_aspell_fuzzer, aflchurn_powadd, trial-755741, 82789, 1195,  10
aspell_aspell_fuzzer, aflchurn_powadd, trial-755743, 82754, 1547,  9
